
**********************************************************************
*                            QDeep                                   *
*        Protein sinlge-model quality assessment using ResNet        *
*       For comments, please email to bhattacharyad@auburn.edu       *
**********************************************************************
Processing started for: T0865

#-----------Validating input files-----------#
#                                            #
#--------------------------------------------#
Checking fasta file: OK
Checking aln file: OK
Checking distance file: OK
Checking PSSM file: OK
Checking SPIDER3 output file: OK
Total pdb file(s) accepted: 151


#------------Generating features-------------#
#                                            #
#--------------------------------------------#
Processing SS and SA...
DONE!

Calculating energy terms...
DONE!

Calculating NEFF...
DONE!

Processing distance features...
DONE!

Finalizing feature generation...
Total failed decoy: 5
Total file(s) to be scored: 146
see failed decoy log: T0865/failed_decoy.log
DONE!


#-----------------Scoring--------------------#
#                                            #
#--------------------------------------------#
Loading models...
Atome2_CBS_TS1: 0.41333333333333333
Atome2_CBS_TS4: 0.65
Atome2_CBS_TS5: 0.62
BAKER-ROSETTASERVER_TS1: 0.43666666666666676
BAKER-ROSETTASERVER_TS2: 0.23000000000000004
BAKER-ROSETTASERVER_TS3: 0.45000000000000007
BAKER-ROSETTASERVER_TS4: 0.43000000000000005
BAKER-ROSETTASERVER_TS5: 0.46
BhageerathH-Plus_TS1: 0.52
BhageerathH-Plus_TS2: 0.44999999999999996
BhageerathH-Plus_TS3: 0.4766666666666667
BhageerathH-Plus_TS4: 0.4833333333333334
BhageerathH-Plus_TS5: 0.37
Distill_TS1: 0.6081081081081081
Distill_TS2: 0.4966216216216216
Distill_TS3: 0.6418918918918919
Distill_TS4: 0.6283783783783784
Distill_TS5: 0.75
FALCON_TOPOX_TS1: 0.5033333333333334
FALCON_TOPOX_TS2: 0.4866666666666667
FALCON_TOPOX_TS3: 0.5
FALCON_TOPOX_TS4: 0.39666666666666667
FALCON_TOPOX_TS5: 0.44999999999999996
FALCON_TOPO_TS1: 0.5166666666666666
FALCON_TOPO_TS2: 0.3966666666666666
FALCON_TOPO_TS3: 0.58
FALCON_TOPO_TS4: 0.6033333333333334
FALCON_TOPO_TS5: 0.43666666666666665
FFAS-3D_TS1: 0.78
FLOUDAS_SERVER_TS1: 0.4666666666666667
FLOUDAS_SERVER_TS2: 0.35
FLOUDAS_SERVER_TS3: 0.5766666666666667
FLOUDAS_SERVER_TS4: 0.36
FLOUDAS_SERVER_TS5: 0.4366666666666667
GAPF_LNCC_SERVER_TS3: 0.5766666666666667
GAPF_LNCC_SERVER_TS5: 0.5333333333333333
GOAL_TS1: 0.45999999999999996
GOAL_TS2: 0.41666666666666663
GOAL_TS3: 0.5266666666666666
GOAL_TS4: 0.43666666666666665
GOAL_TS5: 0.41666666666666663
HHGG_TS1: 0.5766666666666667
HHGG_TS2: 0.5800000000000001
HHGG_TS3: 0.5733333333333334
HHGG_TS4: 0.5933333333333333
HHGG_TS5: 0.5700000000000001
HHPred0_TS1: 0.5433333333333333
HHPred1_TS1: 0.5366666666666667
IntFOLD4_TS1: 0.7066666666666666
IntFOLD4_TS2: 0.7100000000000001
IntFOLD4_TS3: 0.7566666666666667
IntFOLD4_TS4: 0.5366666666666667
IntFOLD4_TS5: 0.5866666666666667
M4T-SmotifTF_TS1: 0.5254237288135593
M4T-SmotifTF_TS2: 0.47457627118644075
M4T-SmotifTF_TS3: 0.5720338983050848
M4T-SmotifTF_TS4: 0.6652542372881356
M4T-SmotifTF_TS5: 0.6016949152542374
MULTICOM-CLUSTER_TS1: 0.5466666666666666
MULTICOM-CLUSTER_TS2: 0.78
MULTICOM-CLUSTER_TS3: 0.51
MULTICOM-CLUSTER_TS4: 0.5800000000000001
MULTICOM-CLUSTER_TS5: 0.7033333333333334
MULTICOM-CONSTRUCT_TS1: 0.5466666666666666
MULTICOM-CONSTRUCT_TS2: 0.54
MULTICOM-CONSTRUCT_TS3: 0.5733333333333334
MULTICOM-CONSTRUCT_TS4: 0.7899999999999999
MULTICOM-CONSTRUCT_TS5: 0.4666666666666667
MULTICOM-NOVEL_TS1: 0.53
MULTICOM-NOVEL_TS2: 0.5733333333333333
MULTICOM-NOVEL_TS3: 0.5700000000000001
MULTICOM-NOVEL_TS4: 0.6933333333333334
MULTICOM-NOVEL_TS5: 0.7366666666666667
